   2.5957040e+00   2.3370426e+00   2.6609716e+00   2.8134005e+00   2.5714180e+00   2.7421876e+00   3.4781762e+00   2.5708382e+00   2.7337222e+00   2.4418923e+00             NaN             NaN             NaN             NaN             NaN   8.5212312e-01   5.4660954e-01   7.2092191e-01   4.5902253e-01   7.7404449e-01   6.1548912e-01   5.7002090e-01   5.4728426e-01   5.9554630e-01   5.3799902e-01   4.1870373e-01   3.7705053e-01   3.9732555e-01   5.4013576e-01   5.5644505e-01   4.0178486e-01   3.2879669e-01   4.0349094e-01   3.2983547e-01   3.3525587e-01   2.8355070e-01   3.7202058e-01   2.9726555e-01   2.5689681e-01   3.5126439e-01   2.7091090e-01   2.1304541e-01   2.0663838e-01
   2.3724824e+00   1.3158955e+00   1.5861324e+00   1.3727206e+00   1.1925740e+00   1.6401709e+00   2.2914422e+00   1.8700121e+00   1.8586124e+00   2.1019801e+00             NaN             NaN             NaN             NaN             NaN   0.0000000e+00   5.7106363e-02   0.0000000e+00   0.0000000e+00   1.2051830e-03   0.0000000e+00   0.0000000e+00   2.2323549e-02   4.1961932e-02   5.5780226e-03   7.9229458e-03   1.2042176e-02   0.0000000e+00   2.3663152e-02   0.0000000e+00   4.7361596e-03   1.3894458e-02   0.0000000e+00   0.0000000e+00   2.0319839e-03   1.2727977e-03   1.8789734e-03   0.0000000e+00   0.0000000e+00   2.9037591e-03   5.2975601e-03   0.0000000e+00   4.3089733e-03
   2.1621279e+00   1.6278739e+00   1.7254708e+00   1.4265737e+00   1.4914907e+00   1.5969741e+00   2.0206760e+00   2.2035091e+00   2.0304320e+00   2.1498714e+00   1.1025429e+00             NaN             NaN             NaN             NaN             NaN   8.5325901e-02   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.8544349e-02   0.0000000e+00   9.3334492e-03   2.9231246e-02   0.0000000e+00   2.0063874e-02   3.3760063e-02   0.0000000e+00   7.1203729e-03   3.8341542e-03   0.0000000e+00   4.3432814e-03   3.1694964e-03   0.0000000e+00   0.0000000e+00   2.7286359e-03   0.0000000e+00   3.5898770e-03   0.0000000e+00   2.2114353e-03   4.0521860e-03   0.0000000e+00   1.7062841e-03
   2.1867390e+00   1.8579318e+00   1.6753561e+00   1.5720774e+00   1.9162156e+00   1.5259547e+00   1.9467882e+00   2.4518425e+00   2.7947478e+00   2.2194478e+00   1.3611112e+00             NaN             NaN             NaN             NaN             NaN   1.0894266e-01   0.0000000e+00   4.9319982e-02   0.0000000e+00   3.5511456e-02   0.0000000e+00   1.2561419e-04   1.6227430e-02   6.8463065e-03   2.4651282e-02   4.7312385e-02   0.0000000e+00   1.4196187e-02   2.6984969e-03   0.0000000e+00   6.6107976e-03   1.2281509e-02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   3.7159617e-03   0.0000000e+00   0.0000000e+00   3.1387349e-03   1.3303482e-04   9.1217126e-04
   2.4325447e+00   2.0120688e+00   1.8780533e+00   1.6381422e+00   2.1525177e+00   1.6616147e+00   2.3203981e+00   2.6203385e+00   3.1225846e+00   2.2851210e+00   1.5883329e+00   8.4583938e-01             NaN             NaN             NaN             NaN             NaN   0.0000000e+00   5.2062796e-02   0.0000000e+00   3.9125258e-02   5.3202707e-03   0.0000000e+00   1.2327932e-02   1.0347434e-02   2.8028265e-02   4.1403182e-02   0.0000000e+00   3.0285275e-02   3.6715740e-03   2.4590339e-03   3.2656328e-03   7.8047779e-03   4.1299860e-03   0.0000000e+00   0.0000000e+00   0.0000000e+00   8.9116299e-04   0.0000000e+00   0.0000000e+00   2.2621728e-03   7.5491567e-04   3.8469126e-03
   2.4989030e+00   2.0841092e+00   1.9352138e+00   1.8641063e+00   2.1756016e+00   2.1757554e+00   2.6258145e+00   3.0529144e+00   3.1855045e+00   2.3930370e+00   1.7770700e+00   9.4721142e-01             NaN             NaN             NaN             NaN             NaN   1.1845456e-02   1.4099564e-02   0.0000000e+00   4.5916812e-02   0.0000000e+00   0.0000000e+00   0.0000000e+00   9.6742259e-03   2.0740034e-02   1.5588750e-02   0.0000000e+00   2.2499616e-02   0.0000000e+00   9.4314861e-03   0.0000000e+00   0.0000000e+00   1.1593424e-02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   8.6040830e-04   2.7029405e-03   4.4044813e-03
   2.5859074e+00   2.2879650e+00   2.1519896e+00   2.0999725e+00   2.1809645e+00   2.9178368e+00   2.6269781e+00   3.3001630e+00   3.1337544e+00   2.5401481e+00   1.6352020e+00   1.0516200e+00             NaN             NaN             NaN             NaN             NaN   4.6154407e-02   1.7321357e-02   2.0277763e-02   4.3630840e-02   0.0000000e+00   0.0000000e+00   0.0000000e+00   2.1090454e-02   2.1126404e-03   6.0533819e-03   1.0437552e-02   0.0000000e+00   0.0000000e+00   1.4393572e-02   0.0000000e+00   2.1525333e-03   1.0568227e-02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   5.5941166e-04   1.1138596e-03   1.7344507e-03   5.7204911e-03   3.9765255e-03
   2.3038418e+00   2.2266430e+00   2.3033494e+00   2.2063392e+00   2.1597479e+00   3.0111957e+00   2.4650579e+00   3.1452039e+00   3.3825105e+00   2.6909659e+00   1.8406728e+00   1.1511623e+00   3.3185441e-01             NaN             NaN             NaN             NaN             NaN   2.5847960e-02   3.8038902e-02   1.5431652e-02   2.4806875e-02   0.0000000e+00   0.0000000e+00   3.0355500e-02   0.0000000e+00   0.0000000e+00   9.1391750e-03   0.0000000e+00   0.0000000e+00   9.7510389e-03   0.0000000e+00   2.6868813e-03   7.7391797e-04   0.0000000e+00   0.0000000e+00   9.1122160e-04   0.0000000e+00   2.6434783e-04   1.9915836e-03   1.1435696e-03   6.9543761e-04   1.9784970e-03
   2.2755419e+00   2.2495293e+00   2.6346387e+00   2.1426157e+00   2.3272182e+00   2.8601723e+00   2.4858716e+00   2.9678859e+00   3.1929080e+00   2.5582898e+00   1.9067776e+00   1.2674565e+00   6.8600009e-01             NaN             NaN             NaN             NaN             NaN   3.3235184e-02   3.8237225e-02   0.0000000e+00   2.6587669e-02   0.0000000e+00   2.3061359e-02   6.2613826e-03   0.0000000e+00   1.0980887e-03   5.7306602e-03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0452064e-03   0.0000000e+00   5.3984112e-03   0.0000000e+00   2.7302011e-03   0.0000000e+00   0.0000000e+00   1.9792932e-03   0.0000000e+00   0.0000000e+00   0.0000000e+00
   2.8404843e+00   2.3224130e+00   2.7536386e+00   2.3691598e+00   2.6496158e+00   2.7098661e+00   2.7796882e+00   2.9619521e+00   3.2370721e+00   2.4743940e+00   2.0735222e+00   1.5116153e+00   1.0098686e+00   4.9168662e-01             NaN             NaN             NaN             NaN             NaN   6.2458185e-02   5.0262952e-02   2.1201860e-02   2.0260886e-02   3.1268417e-02   0.0000000e+00   1.0545343e-02   4.2645130e-02   1.7163709e-03   1.1350521e-02   9.2279508e-03   2.3322259e-03   4.0366924e-03   9.8542712e-03   8.1688122e-04   1.0340042e-02   2.4791972e-03   9.2457314e-03   4.5021791e-03   2.4559786e-03   2.4316927e-03   8.4493827e-03   0.0000000e+00   0.0000000e+00
